txn_date,is_stationary,amount,amount_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13
2020-12-11,False,1827.5,1827.5,1827.5,2935.75,3334.0,2103.3,1743.05,3456.75,2229.0,2019.75,2530.0,1890.75,1897.55,2247.5,1839.6
2020-12-12,False,1973.5,1973.5,1973.5,1827.5,2935.75,3334.0,2103.3,1743.05,3456.75,2229.0,2019.75,2530.0,1890.75,1897.55,2247.5
2020-12-13,False,2569.0,2569.0,2569.0,1973.5,1827.5,2935.75,3334.0,2103.3,1743.05,3456.75,2229.0,2019.75,2530.0,1890.75,1897.55
2020-12-14,False,1738.0,1738.0,1738.0,2569.0,1973.5,1827.5,2935.75,3334.0,2103.3,1743.05,3456.75,2229.0,2019.75,2530.0,1890.75
2020-12-15,False,1990.5,1990.5,1990.5,1738.0,2569.0,1973.5,1827.5,2935.75,3334.0,2103.3,1743.05,3456.75,2229.0,2019.75,2530.0
2020-12-16,False,2219.75,2219.75,2219.75,1990.5,1738.0,2569.0,1973.5,1827.5,2935.75,3334.0,2103.3,1743.05,3456.75,2229.0,2019.75
2020-12-17,False,3262.75,3262.75,3262.75,2219.75,1990.5,1738.0,2569.0,1973.5,1827.5,2935.75,3334.0,2103.3,1743.05,3456.75,2229.0
2020-12-18,False,1847.3,1847.3,1847.3,3262.75,2219.75,1990.5,1738.0,2569.0,1973.5,1827.5,2935.75,3334.0,2103.3,1743.05,3456.75
2020-12-19,False,3471.75,3471.75,3471.75,1847.3,3262.75,2219.75,1990.5,1738.0,2569.0,1973.5,1827.5,2935.75,3334.0,2103.3,1743.05
2020-12-20,False,2188.25,2188.25,2188.25,3471.75,1847.3,3262.75,2219.75,1990.5,1738.0,2569.0,1973.5,1827.5,2935.75,3334.0,2103.3
2020-12-21,False,1889.25,1889.25,1889.25,2188.25,3471.75,1847.3,3262.75,2219.75,1990.5,1738.0,2569.0,1973.5,1827.5,2935.75,3334.0
2020-12-22,False,2483.35,2483.35,2483.35,1889.25,2188.25,3471.75,1847.3,3262.75,2219.75,1990.5,1738.0,2569.0,1973.5,1827.5,2935.75
2020-12-23,False,2006.5,2006.5,2006.5,2483.35,1889.25,2188.25,3471.75,1847.3,3262.75,2219.75,1990.5,1738.0,2569.0,1973.5,1827.5
2020-12-24,False,2459.0,2459.0,2459.0,2006.5,2483.35,1889.25,2188.25,3471.75,1847.3,3262.75,2219.75,1990.5,1738.0,2569.0,1973.5
2020-12-25,False,1923.75,1923.75,1923.75,2459.0,2006.5,2483.35,1889.25,2188.25,3471.75,1847.3,3262.75,2219.75,1990.5,1738.0,2569.0
2020-12-26,False,3371.0,3371.0,3371.0,1923.75,2459.0,2006.5,2483.35,1889.25,2188.25,3471.75,1847.3,3262.75,2219.75,1990.5,1738.0
2020-12-27,False,2630.0,2630.0,2630.0,3371.0,1923.75,2459.0,2006.5,2483.35,1889.25,2188.25,3471.75,1847.3,3262.75,2219.75,1990.5
2020-12-28,False,2497.0,2497.0,2497.0,2630.0,3371.0,1923.75,2459.0,2006.5,2483.35,1889.25,2188.25,3471.75,1847.3,3262.75,2219.75
2020-12-29,False,3409.0,3409.0,3409.0,2497.0,2630.0,3371.0,1923.75,2459.0,2006.5,2483.35,1889.25,2188.25,3471.75,1847.3,3262.75
2020-12-30,False,2789.5,2789.5,2789.5,3409.0,2497.0,2630.0,3371.0,1923.75,2459.0,2006.5,2483.35,1889.25,2188.25,3471.75,1847.3
2020-12-31,False,1989.05,1989.05,1989.05,2789.5,3409.0,2497.0,2630.0,3371.0,1923.75,2459.0,2006.5,2483.35,1889.25,2188.25,3471.75
2021-01-01,False,3566.0,3566.0,3566.0,1989.05,2789.5,3409.0,2497.0,2630.0,3371.0,1923.75,2459.0,2006.5,2483.35,1889.25,2188.25
